종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","3290","70","2.17","152233277770"
"054620","APS홀딩스","KOSDAQ","금융","13300","0","0.00","271243139300"
"265520","AP시스템","KOSDAQ","반도체","25250","-50","-0.20","385855880250"
"211270","AP위성","KOSDAQ","통신장비","13750","850","6.59","207381680000"
"032790","BNGT","KOSDAQ","정보기기","4075","0","0.00","120352455875"
"013720","CBI","KOSDAQ","운송장비·부품","3305","30","0.92","174535513175"
"035760","CJ ENM","KOSDAQ","방송서비스","140900","500","0.36","3089817798600"
"051500","CJ프레시웨이","KOSDAQ","유통","29150","0","0.00","346056731900"
"058820","CMG제약","KOSDAQ","제약","3720","-35","-0.93","516679147680"
"023460","CNH","KOSDAQ","금융","2490","35","1.43","92628000000"
"056730","CNT85","KOSDAQ","유통","1550","0","0.00","109591063600"
"056000","COWON","KOSDAQ","디지털컨텐츠","2860","0","0.00","56399843500"
"065770","CS","KOSDAQ","통신장비","4025","600","17.52","78129798250"
"083660","CSA 코스믹","KOSDAQ","화학","1675","5","0.30","63539640950"
"367340","DB금융스팩8호","KOSDAQ","금융","2115","10","0.48","12795750000"
"367360","DB금융스팩9호","KOSDAQ","금융","2090","0","0.00","10115600000"
"068790","DMS","KOSDAQ","기계·장비","6680","40","0.60","164148047480"
"241520","DSC인베스트먼트","KOSDAQ","금융","5950","-60","-1.00","165477847850"
"245620","EDGC","KOSDAQ","기타서비스","3150","-50","-1.56","263632559400"
"037370","EG","KOSDAQ","건설","13600","150","1.12","112709687200"
"079190","EMW","KOSDAQ","통신장비","1495","-10","-0.66","47517374515"
"050120","ES큐브","KOSDAQ","유통","4835","40","0.83","65582355810"
"214270","FSN","KOSDAQ","출판·매체복제","12300","1300","11.82","325368419100"
"130500","GH신소재","KOSDAQ","섬유·의류","7780","-150","-1.89","113160504560"
"900290","GRT","KOSDAQ","금융","1235","5","0.41","83208125000"
"083450","GST","KOSDAQ","반도체","37050","0","0.00","345222452250"
"297890","HB솔루션","KOSDAQ","기계·장비","19850","150","0.76","331302236650"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2610","-10","-0.38","206165011860"
"195940","HK이노엔","KOSDAQ","제약","53600","-700","-1.29","1549281146400"
"036640","HRS","KOSDAQ","화학","7340","220","3.09","120044232000"
"335870","IBKS제12호스팩","KOSDAQ","금융","2195","30","1.39","6848400000"
"351340","IBKS제13호스팩","KOSDAQ","금융","2140","5","0.23","11063800000"
"373200","IBKS제15호스팩","KOSDAQ","금융","2345","10","0.43","8254400000"
"388790","IBKS제16호스팩","KOSDAQ","금융","2140","0","0.00","7297400000"
"095340","ISC","KOSDAQ","반도체","31200","0","0.00","516188899200"
"099520","ITX-AI","KOSDAQ","통신장비","1285","0","0.00","37652662655"
"950170","JTC","KOSDAQ","유통","3970","0","0.00","138971902490"
"067290","JW신약","KOSDAQ","제약","4160","100","2.46","182777329280"
"035900","JYP Ent.","KOSDAQ","오락·문화","48850","150","0.31","1734052484200"
"024840","KBI메탈","KOSDAQ","금속","1955","45","2.36","64418907840"
"024120","KB오토시스","KOSDAQ","운송장비·부품","6670","110","1.68","76705000000"
"021320","KCC건설","KOSDAQ","건설","8300","30","0.36","177620000000"
"036670","KCI","KOSDAQ","화학","9240","-40","-0.43","104134800000"
"044180","KD","KOSDAQ","건설","1270","45","3.67","27576583150"
"151860","KG ETS","KOSDAQ","기타서비스","15000","-100","-0.66","540000000000"
"046440","KG모빌리언스","KOSDAQ","소프트웨어","12500","-100","-0.79","485319600000"
"035600","KG이니시스","KOSDAQ","소프트웨어","19600","700","3.70","546926906400"
"226360","KH E&T","KOSDAQ","건설","1285","0","0.00","87160940910"
"111870","KH 일렉트론","KOSDAQ","일반전기전자","735","-3","-0.41","81541866525"
"060720","KH바텍","KOSDAQ","IT부품","24000","50","0.21","568258608000"
"122450","KMH","KOSDAQ","방송서비스","7850","310","4.11","355887317400"
"052900","KMH하이텍","KOSDAQ","반도체","1755","-30","-1.68","90607220730"
"058400","KNN","KOSDAQ","방송서비스","1325","15","1.15","175469379000"
"114450","KPX생명과학","KOSDAQ","제약","9780","0","0.00","146700000000"
"060370","KT서브마린","KOSDAQ","건설","5180","20","0.39","113442000000"
"108320","LX세미콘","KOSDAQ","반도체","161400","-1100","-0.68","2625058020000"
"160550","NEW","KOSDAQ","오락·문화","13050","-250","-1.88","364174683300"
"053290","NE능률","KOSDAQ","출판·매체복제","11650","100","0.87","192531476550"
"104200","NHN벅스","KOSDAQ","디지털컨텐츠","17950","600","3.46","266154522500"
"060250","NHN한국사이버결제","KOSDAQ","소프트웨어","34050","500","1.49","1226358930750"
"030190","NICE평가정보","KOSDAQ","기타서비스","18700","350","1.91","1135367134000"
"078590","OQP","KOSDAQ","운송장비·부품","2380","0","0.00","197556560040"
"024940","PN풍년","KOSDAQ","금속","4620","20","0.43","46200000000"
"218410","RFHIC","KOSDAQ","일반전기전자","32800","-50","-0.15","874592221600"
"327260","RF머트리얼즈","KOSDAQ","기타제조","13700","-150","-1.08","55126731300"
"091340","S&K폴리텍","KOSDAQ","IT부품","5850","100","1.74","68466767850"
"019550","SBI인베스트먼트","KOSDAQ","금융","1595","-5","-0.31","258496187125"
"950110","SBI핀테크솔루션즈","KOSDAQ","출판·매체복제","6370","-110","-1.70","153214679800"
"046140","SBS콘텐츠허브","KOSDAQ","오락·문화","8200","60","0.74","176001151000"
"036120","SCI평가정보","KOSDAQ","기타서비스","3375","-35","-1.03","119812500000"
"099220","SDN","KOSDAQ","유통","1900","60","3.26","101021932200"
"036540","SFA반도체","KOSDAQ","반도체","7610","-60","-0.78","1251542905830"
"255220","SG","KOSDAQ","비금속","1970","10","0.51","81440325990"
"040610","SG&G","KOSDAQ","운송장비·부품","2315","75","3.35","78911858740"
"049470","SGA","KOSDAQ","소프트웨어","1030","20","1.98","54448116470"
"184230","SGA솔루션즈","KOSDAQ","소프트웨어","1205","30","2.55","55641846230"
"016250","SGC이테크건설","KOSDAQ","건설","79800","500","0.63","161534910600"
"337450","SK5호스팩","KOSDAQ","금융","2070","0","0.00","8921700000"
"340350","SK6호스팩","KOSDAQ","금융","2080","0","0.00","11876800000"
"036490","SK머티리얼즈","KOSDAQ","반도체","402900","0","0.00","4249657451700"
"048550","SM C&C","KOSDAQ","방송서비스","4575","1055","29.97","436986249000"
"063440","SM Life Design","KOSDAQ","출판·매체복제","3040","480","18.75","138104628160"
"950180","SNK","KOSDAQ","출판·매체복제","35900","-50","-0.14","756118620000"
"289080","SV인베스트먼트","KOSDAQ","금융","3130","105","3.47","166622420000"
"089230","THE E&M","KOSDAQ","인터넷","630","5","0.80","109273620330"
"161570","THE MIDONG","KOSDAQ","정보기기","1495","35","2.40","23296330850"
"192410","THQ","KOSDAQ","통신장비","2475","0","0.00","71601500025"
"032540","TJ미디어","KOSDAQ","일반전기전자","4980","65","1.32","69379412820"
"048770","TPC","KOSDAQ","기계·장비","3665","-40","-1.08","54145141380"
"246690","TS인베스트먼트","KOSDAQ","금융","2630","35","1.35","102901061770"
"317240","TS트릴리온","KOSDAQ","화학","798","15","1.92","73957869930"
"038340","UCI","KOSDAQ","기타서비스","1335","0","0.00","16641828315"
"073570","WI","KOSDAQ","기타제조","1100","15","1.38","88995360300"
"057030","YBM넷","KOSDAQ","기타서비스","7190","-330","-4.39","117288291430"
"040300","YTN","KOSDAQ","방송서비스","2920","30","1.04","122640000000"
"051390","YW","KOSDAQ","유통","4060","-120","-2.87","46102794080"
"052220","iMBC","KOSDAQ","디지털컨텐츠","4715","-5","-0.11","108445000000"
"079940","가비아","KOSDAQ","인터넷","13650","-50","-0.36","184762086600"
"078890","가온미디어","KOSDAQ","통신장비","16250","200","1.25","257594122500"
"036620","감성코퍼레이션","KOSDAQ","유통","2150","-15","-0.69","168034696950"
"217730","강스템바이오텍","KOSDAQ","제약","3170","-90","-2.76","120263222250"
"114190","강원에너지","KOSDAQ","금속","2500","0","0.00","65307595000"
"094480","갤럭시아머니트리","KOSDAQ","소프트웨어","13150","-50","-0.38","515872369700"
"039240","경남스틸","KOSDAQ","금속","4735","345","7.86","118375000000"
"053950","경남제약","KOSDAQ","제약","5440","-80","-1.45","109069633600"
"223310","경남제약헬스케어","KOSDAQ","소프트웨어","3320","0","0.00","44267239920"
"011040","경동제약","KOSDAQ","제약","11900","0","0.00","366148315400"
"024910","경창산업","KOSDAQ","운송장비·부품","3545","475","15.47","126978372725"
"198440","고려시멘트","KOSDAQ","비금속","3785","-55","-1.43","121044148600"
"049720","고려신용정보","KOSDAQ","기타서비스","8610","20","0.23","123123000000"
"014570","고려제약","KOSDAQ","제약","8720","110","1.28","95920000000"
"348150","고바이오랩","KOSDAQ","기타서비스","19650","-50","-0.25","319716484350"
"098460","고영","KOSDAQ","기계·장비","23300","100","0.43","1599655791500"
"035290","골드앤에스","KOSDAQ","출판·매체복제","1305","0","0.00","47272202550"
"038530","골드퍼시픽","KOSDAQ","유통","1215","-15","-1.22","101170047735"
"900280","골든센츄리","KOSDAQ","금융","324","0","0.00","57209843484"
"215000","골프존","KOSDAQ","소프트웨어","170700","2900","1.73","1071213340500"
"121440","골프존뉴딘홀딩스","KOSDAQ","유통","8920","10","0.11","382104416560"
"014200","광림","KOSDAQ","운송장비·부품","1990","65","3.38","148383601760"
"026910","광진실업","KOSDAQ","금속","4215","25","0.60","26998782075"
"090150","광진윈텍","KOSDAQ","운송장비·부품","10150","150","1.50","176187688950"
"355150","교보10호스팩","KOSDAQ","금융","2150","15","0.70","11438000000"
"397880","교보11호스팩","KOSDAQ","금융","2080","0","0.00","9235200000"
"331520","교보9호스팩","KOSDAQ","금융","2115","-5","-0.24","8206200000"
"053270","구영테크","KOSDAQ","운송장비·부품","3200","150","4.92","84461356800"
"066620","국보디자인","KOSDAQ","건설","20950","100","0.48","157125000000"
"043650","국순당","KOSDAQ","음식료·담배","9000","10","0.11","160724736000"
"006050","국영지앤엠","KOSDAQ","비금속","1810","5","0.28","63160389830"
"060480","국일신동","KOSDAQ","금속","3700","10","0.27","41033000000"
"078130","국일제지","KOSDAQ","종이·목재","3945","40","1.02","503450930985"
"307750","국전약품","KOSDAQ","제약","10600","-550","-4.93","520134251400"
"204020","그리티","KOSDAQ","섬유·의류","2670","75","2.89","53793638100"
"186230","그린플러스","KOSDAQ","금속","14800","100","0.68","160138782400"
"900070","글로벌에스엠","KOSDAQ","금융","994","-6","-0.60","53421504192"
"204620","글로벌텍스프리","KOSDAQ","금융","2950","75","2.61","143773238450"
"019660","글로본","KOSDAQ","유통","2835","20","0.71","93303388080"
"053260","금강철강","KOSDAQ","금속","5100","-20","-0.39","95472000000"
"036190","금화피에스시","KOSDAQ","건설","33350","250","0.76","200100000000"
"049080","기가레인","KOSDAQ","반도체","2340","-5","-0.21","185429181600"
"035460","기산텔레콤","KOSDAQ","통신장비","2480","5","0.20","36151803200"
"308100","까스텔바작","KOSDAQ","유통","10650","200","1.91","70254855000"
"187790","나노","KOSDAQ","화학","1700","45","2.72","46015081500"
"286750","나노브릭","KOSDAQ","화학","8610","330","3.99","80090805480"
"151910","나노스","KOSDAQ","IT부품","6060","40","0.66","900669602820"
"121600","나노신소재","KOSDAQ","화학","67000","3200","5.02","726838311000"
"247660","나노씨엠에스","KOSDAQ","일반전기전자","75800","8400","12.46","325100136000"
"039860","나노엔텍","KOSDAQ","의료·정밀기기","7430","50","0.68","199111569610"
"091970","나노캠텍","KOSDAQ","화학","1610","0","0.00","45209484250"
"051490","나라엠앤디","KOSDAQ","기계·장비","9530","20","0.21","135326000000"
"190510","나무가","KOSDAQ","IT부품","12050","-100","-0.82","165593269000"
"242040","나무기술","KOSDAQ","출판·매체복제","2900","10","0.35","99300930000"
"089600","나스미디어","KOSDAQ","기타서비스","35200","-100","-0.28","338092832000"
"293580","나우IB","KOSDAQ","금융","9850","80","0.82","94333450000"
"138610","나이벡","KOSDAQ","제약","26350","-450","-1.68","260943496650"
"130580","나이스디앤비","KOSDAQ","기타서비스","9640","10","0.10","148456000000"
"036800","나이스정보통신","KOSDAQ","통신서비스","30500","700","2.35","305000000000"
"267320","나인테크","KOSDAQ","IT부품","3735","60","1.63","147146129190"
"111710","남화산업","KOSDAQ","오락·문화","8290","10","0.12","170674520000"
"091590","남화토건","KOSDAQ","건설","8800","130","1.50","103312000000"
"168330","내츄럴엔도텍","KOSDAQ","기타서비스","4650","0","0.00","144966051750"
"094860","네오리진","KOSDAQ","소프트웨어","1165","-20","-1.69","116277034145"
"253590","네오셈","KOSDAQ","반도체","3515","155","4.61","132436416015"
"212560","네오오토","KOSDAQ","운송장비·부품","6930","-20","-0.29","54573493590"
"095660","네오위즈","KOSDAQ","디지털컨텐츠","30500","200","0.66","672028429500"
"042420","네오위즈홀딩스","KOSDAQ","디지털컨텐츠","79500","6000","8.16","704120847000"
"950220","네오이뮨텍(Reg.S)","KOSDAQ","기타서비스","10250","0","0.00","1010465602500"
"311390","네오크레마","KOSDAQ","음식료·담배","18150","-500","-2.68","133003109250"
"085910","네오티스","KOSDAQ","운송장비·부품","5230","110","2.15","71810614370"
"092730","네오팜","KOSDAQ","화학","24650","250","1.02","202311448650"
"290660","네오펙트","KOSDAQ","의료·정밀기기","2980","-15","-0.50","56340714400"
"306620","네온테크","KOSDAQ","기계·장비","4020","115","2.94","160488482160"
"153460","네이블","KOSDAQ","소프트웨어","7740","-40","-0.51","50542308360"
"007390","네이처셀","KOSDAQ","제약","16000","300","1.91","1002034496000"
"033640","네패스","KOSDAQ","반도체","37350","-250","-0.66","861261194700"
"330860","네패스아크","KOSDAQ","반도체","49850","-150","-0.30","607374643250"
"089140","넥스턴바이오","KOSDAQ","비금속","6170","-120","-1.91","204972730880"
"065170","넥스트BT","KOSDAQ","유통","1350","15","1.12","120110254650"
"137940","넥스트아이","KOSDAQ","의료·정밀기기","1275","45","3.66","99859264800"
"348210","넥스틴","KOSDAQ","반도체","56500","-200","-0.35","547054470000"
"041140","넥슨지티","KOSDAQ","디지털컨텐츠","19100","-500","-2.55","675630450200"
"217270","넵튠","KOSDAQ","출판·매체복제","27900","-500","-1.76","885928843800"
"225570","넷게임즈","KOSDAQ","디지털컨텐츠","19600","-250","-1.26","565518153200"
"104620","노랑풍선","KOSDAQ","기타서비스","14650","250","1.74","209450317500"
"194700","노바렉스","KOSDAQ","음식료·담배","35300","150","0.43","317832022000"
"285490","노바텍","KOSDAQ","기타제조","39800","0","0.00","401253411200"
"278650","노터스","KOSDAQ","기타서비스","34950","3550","11.31","267432786600"
"142280","녹십자엠에스","KOSDAQ","제약","7150","10","0.14","150988573450"
"234690","녹십자웰빙","KOSDAQ","제약","9970","-80","-0.80","176990191720"
"065560","녹원씨엔아이","KOSDAQ","출판·매체복제","5770","0","0.00","99593806250"
"054050","농우바이오","KOSDAQ","농업, 임업 및 어업","10850","100","0.93","173931586850"
"069140","누리플랜","KOSDAQ","금속","6490","20","0.31","46096802070"
"040160","누리플렉스","KOSDAQ","소프트웨어","8600","110","1.30","103677601000"
"126870","뉴로스","KOSDAQ","기계·장비","2230","0","0.00","79475830780"
"060260","뉴보텍","KOSDAQ","화학","1205","-15","-1.23","40287668750"
"012340","뉴인텍","KOSDAQ","IT부품","3530","25","0.71","106057092060"
"214870","뉴지랩파마","KOSDAQ","유통","10300","50","0.49","318829928600"
"270870","뉴트리","KOSDAQ","음식료·담배","21750","0","0.00","198212622000"
"144960","뉴파워프라즈마","KOSDAQ","기계·장비","6440","10","0.16","281380498560"
"085670","뉴프렉스","KOSDAQ","IT부품","6550","200","3.15","158573882150"
"119860","다나와","KOSDAQ","인터넷","26400","350","1.34","345175300800"
"064260","다날","KOSDAQ","디지털컨텐츠","15300","1100","7.75","1054920312000"
"093640","다믈멀티미디어","KOSDAQ","반도체","4475","90","2.05","81661093275"
"340360","다보링크","KOSDAQ","통신장비","2265","-50","-2.16","92661512400"
"039560","다산네트웍스","KOSDAQ","통신장비","7030","-20","-0.28","255757291140"
"032190","다우데이타","KOSDAQ","유통","14850","-50","-0.34","568755000000"
"068240","다원시스","KOSDAQ","IT부품","28250","0","0.00","893562161750"
"020400","대동금속","KOSDAQ","금속","9350","30","0.32","29818702100"
"008830","대동기어","KOSDAQ","기계·장비","5640","100","1.81","50689612800"
"048470","대동스틸","KOSDAQ","금속","5920","140","2.42","59200000000"
"004780","대륙제관","KOSDAQ","금속","5170","70","1.37","82219538830"
"017650","대림제지","KOSDAQ","종이·목재","11250","100","0.90","101250000000"
"007720","대명소노시즌","KOSDAQ","유통","1240","15","1.22","124992558000"
"317850","대모","KOSDAQ","기계·장비","5250","50","0.96","43703205000"
"290670","대보마그네틱","KOSDAQ","기계·장비","39100","350","0.90","305937950000"
"078140","대봉엘에스","KOSDAQ","제약","8270","170","2.10","91686008330"
"036480","대성미생물","KOSDAQ","제약","14250","-150","-1.04","54150000000"
"025440","대성엘텍","KOSDAQ","일반전기전자","888","2","0.23","89662552584"
"027830","대성창투","KOSDAQ","금융","2935","35","1.21","117400000000"
"104040","대성파인텍","KOSDAQ","운송장비·부품","2075","-5","-0.24","64950158075"
"387310","대신밸런스제10호스팩","KOSDAQ","금융","2165","-25","-1.14","11820900000"
"397500","대신밸런스제11호스팩","KOSDAQ","금융","2085","-10","-0.48","15866850000"
"332290","대신밸런스제7호스팩","KOSDAQ","금융","2130","-10","-0.47","11086650000"
"336570","대신밸런스제8호스팩","KOSDAQ","금융","2675","0","0.00","15006750000"
"020180","대신정보통신","KOSDAQ","컴퓨터서비스","1245","20","1.63","47843999175"
"045390","대아티아이","KOSDAQ","일반전기전자","5550","50","0.91","394890947100"
"108380","대양전기공업","KOSDAQ","운송장비·부품","15100","100","0.67","144466728300"
"006580","대양제지","KOSDAQ","종이·목재","3260","0","0.00","87531000000"
"007680","대원","KOSDAQ","건설","9520","220","2.37","128010432480"
"048910","대원미디어","KOSDAQ","유통","21700","-450","-2.03","272963128200"
"005710","대원산업","KOSDAQ","운송장비·부품","6640","30","0.45","133049664000"
"290380","대유","KOSDAQ","화학","6650","-70","-1.04","96280867900"
"290120","대유에이피","KOSDAQ","운송장비·부품","5920","130","2.25","67686906080"
"120240","대정화금","KOSDAQ","화학","22050","-1450","-6.17","158548121550"
"003310","대주산업","KOSDAQ","음식료·담배","1885","20","1.07","66714579750"
"078600","대주전자재료","KOSDAQ","IT부품","101500","2400","2.42","1571280189500"
"096350","대창솔루션","KOSDAQ","금속","492","-4","-0.81","80570416428"
"140520","대창스틸","KOSDAQ","금속","3200","35","1.11","67549577600"
"131220","대한과학","KOSDAQ","유통","9920","-680","-6.42","73948540800"
"010170","대한광통신","KOSDAQ","일반전기전자","2495","10","0.40","183985354375"
"060900","대한그린파워","KOSDAQ","화학","1025","10","0.99","177106475125"
"054670","대한뉴팜","KOSDAQ","제약","10950","150","1.39","157186374000"
"023910","대한약품","KOSDAQ","제약","28450","150","0.53","170700000000"
"021040","대호특수강","KOSDAQ","금속","785","12","1.55","59187853900"
"021045","대호특수강우","KOSDAQ","금속","1490","15","1.02","6321274340"
"067080","대화제약","KOSDAQ","제약","9220","10","0.11","171645513000"
"298540","더네이쳐홀딩스","KOSDAQ","섬유·의류","27400","0","0.00","398523574400"
"299170","더블유에스아이","KOSDAQ","유통","2345","0","0.00","70415573235"
"213420","덕산네오룩스","KOSDAQ","반도체","56700","-1300","-2.24","1407927849300"
"317330","덕산테코피아","KOSDAQ","반도체","28650","-450","-1.55","526513312200"
"077360","덕산하이메탈","KOSDAQ","일반전기전자","18600","600","3.33","422564118600"
"090410","덕신하우징","KOSDAQ","금속","2220","15","0.68","102306690900"
"263600","덕우전자","KOSDAQ","일반전기전자","7950","-50","-0.63","126645964500"
