종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","5480","160","3.01","256586176600"
"006840","AK홀딩스","KOSPI","기타금융","19800","-200","-1.00","262301707800"
"027410","BGF","KOSPI","기타금융","5310","60","1.14","508256160210"
"282330","BGF리테일","KOSPI","유통업","147000","0","0.00","2540734182000"
"138930","BNK금융지주","KOSPI","기타금융","8850","30","0.34","2884526927100"
"001460","BYC","KOSPI","섬유의복","470000","-73000","-13.44","293569050000"
"001465","BYC우","KOSPI","섬유의복","180000","-29500","-14.08","38769300000"
"001040","CJ","KOSPI","기타금융","84700","500","0.59","2471291730600"
"079160","CJ CGV","KOSPI","서비스업","24600","150","0.61","933606604800"
"00104K","CJ4우(전환)","KOSPI","기타금융","72500","200","0.28","306422120000"
"000120","CJ대한통운","KOSPI","운수창고업","129500","-1000","-0.77","2954198548000"
"011150","CJ씨푸드","KOSPI","음식료품","3740","-45","-1.19","134381091020"
"011155","CJ씨푸드1우","KOSPI","음식료품","37250","50","0.13","7450000000"
"001045","CJ우","KOSPI","기타금융","54900","700","1.29","124086242700"
"097950","CJ제일제당","KOSPI","음식료품","387500","-3500","-0.90","5833497075000"
"097955","CJ제일제당 우","KOSPI","음식료품","179500","0","0.00","238274223500"
"000590","CS홀딩스","KOSPI","기타금융","64000","1200","1.91","73886848000"
"012030","DB","KOSPI","서비스업","917","5","0.55","184476496561"
"016610","DB금융투자","KOSPI","증권","6790","10","0.15","288210981310"
"005830","DB손해보험","KOSPI","보험","58700","600","1.03","4155960000000"
"000990","DB하이텍","KOSPI","전기전자","71000","100","0.14","3152299748000"
"000995","DB하이텍1우","KOSPI","전기전자","101500","-1500","-1.46","11400074000"
"139130","DGB금융지주","KOSPI","기타금융","9800","0","0.00","1657629163400"
"001530","DI동일","KOSPI","유통업","287000","4500","1.59","720557985000"
"000210","DL","KOSPI","기타금융","63900","200","0.31","1339080987600"
"001880","DL건설","KOSPI","건설업","27150","300","1.12","598746660600"
"000215","DL우","KOSPI","기타금융","38400","200","0.52","64746816000"
"375500","DL이앤씨","KOSPI","건설업","124000","1000","0.81","2400483512000"
"37550K","DL이앤씨우","KOSPI","건설업","71200","300","0.42","150508612000"
"004840","DRB동일","KOSPI","화학","5050","10","0.20","100646500000"
"155660","DSR","KOSPI","철강금속","5780","200","3.58","92480000000"
"069730","DSR제강","KOSPI","철강금속","4820","160","3.43","69408000000"
"017940","E1","KOSPI","유통업","49450","450","0.92","339227000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","6380","-90","-1.39","913992420000"
"383220","F&F","KOSPI","섬유의복","880000","0","0.00","6742045200000"
"007700","F&F홀딩스","KOSPI","기타금융","33350","50","0.15","1304464139450"
"114090","GKL","KOSPI","서비스업","13200","350","2.72","816494844000"
"078930","GS","KOSPI","기타금융","41150","500","1.23","3823467804700"
"006360","GS건설","KOSPI","건설업","41800","400","0.97","3577306282000"
"001250","GS글로벌","KOSPI","유통업","2360","-10","-0.42","194779683040"
"007070","GS리테일","KOSPI","유통업","30900","150","0.49","3235783789800"
"078935","GS우","KOSPI","기타금융","36650","100","0.27","65413872900"
"012630","HDC","KOSPI","기타금융","10500","100","0.96","627288070500"
"039570","HDC랩스","KOSPI","건설업","12450","-100","-0.80","323172132450"
"089470","HDC현대EP","KOSPI","화학","5980","-30","-0.50","190762000000"
"294870","HDC현대산업개발","KOSPI","건설업","23500","150","0.64","1548822255000"
"011200","HMM","KOSPI","운수창고업","27650","-500","-1.78","13521942064400"
"082740","HSD엔진","KOSPI","기계","8370","-30","-0.36","391056829020"
"003560","IHQ","KOSPI","서비스업","1445","15","1.05","211310655860"
"175330","JB금융지주","KOSPI","기타금융","8670","50","0.58","1707841690980"
"234080","JW생명과학","KOSPI","의약품","14150","50","0.35","224058939100"
"001060","JW중외제약","KOSPI","의약품","22900","50","0.22","493264305400"
"001067","JW중외제약2우B","KOSPI","의약품","60500","1400","2.37","6050000000"
"001065","JW중외제약우","KOSPI","의약품","34700","200","0.58","6158764200"
"096760","JW홀딩스","KOSPI","기타금융","3395","5","0.15","232357812890"
"105560","KB금융","KOSPI","기타금융","57400","0","0.00","23867374608000"
"002380","KCC","KOSPI","화학","308000","2000","0.65","2737033068000"
"344820","KCC글라스","KOSPI","비금속광물","60100","0","0.00","959827771200"
"009070","KCTC","KOSPI","운수창고업","6500","-180","-2.69","195000000000"
"009440","KC그린홀딩스","KOSPI","기타금융","4185","50","1.21","93890391300"
"119650","KC코트렐","KOSPI","기계","5990","10","0.17","105424000000"
"092220","KEC","KOSPI","전기전자","3660","0","0.00","529668396060"
"016380","KG동부제철","KOSPI","철강금속","10750","100","0.94","1075095642750"
"016385","KG동부제철우","KOSPI","철강금속","97100","-100","-0.10","5183683500"
"001390","KG케미칼","KOSPI","화학","30650","-50","-0.16","424995842400"
"033180","KH 필룩스","KOSPI","전기전자","2535","-25","-0.98","346611219240"
"001940","KISCO홀딩스","KOSPI","철강금속","15000","50","0.33","277145700000"
"025000","KPX케미칼","KOSPI","화학","54900","0","0.00","265716000000"
"092230","KPX홀딩스","KOSPI","화학","65700","300","0.46","277559242200"
"000040","KR모터스","KOSPI","운수장비","869","9","1.05","83543372792"
"044450","KSS해운","KOSPI","운수창고업","11700","0","0.00","271274796000"
"030200","KT","KOSPI","통신업","32750","250","0.77","8551411712000"
"033780","KT&G","KOSPI","기타제조업","84200","-800","-0.94","11560028247400"
"030210","KTB투자증권","KOSPI","증권","5450","20","0.37","328711801400"
"058850","KTcs","KOSPI","서비스업","2570","25","0.98","109700450000"
"058860","KTis","KOSPI","서비스업","2500","15","0.60","87005000000"
"093050","LF","KOSPI","섬유의복","17150","0","0.00","501466000000"
"003550","LG","KOSPI","기타금융","82500","100","0.12","12977331922500"
"034220","LG디스플레이","KOSPI","전기전자","23150","100","0.43","8283433455000"
"051900","LG생활건강","KOSPI","화학","1122000","4000","0.36","17523617034000"
"051905","LG생활건강우","KOSPI","화학","616000","0","0.00","1293413352000"
"003555","LG우","KOSPI","기타금융","64700","500","0.78","195498814000"
"032640","LG유플러스","KOSPI","통신업","14150","0","0.00","6178050758150"
"011070","LG이노텍","KOSPI","전기전자","361000","-500","-0.14","8543825627000"
"066570","LG전자","KOSPI","전기전자","136500","-500","-0.36","22337926611000"
"066575","LG전자우","KOSPI","전기전자","65400","-100","-0.15","1123963876800"
"037560","LG헬로비전","KOSPI","서비스업","5600","60","1.08","433702444000"
"051910","LG화학","KOSPI","화학","621000","-13000","-2.05","43837845003000"
"051915","LG화학우","KOSPI","화학","296000","0","0.00","2275884800000"
"079550","LIG넥스원","KOSPI","기계","62700","200","0.32","1379400000000"
"006260","LS","KOSPI","기타금융","53600","-200","-0.37","1725920000000"
"010120","LS ELECTRIC","KOSPI","전기전자","56000","100","0.18","1680000000000"
"000680","LS네트웍스","KOSPI","유통업","3035","30","1.00","239167153560"
"229640","LS전선아시아","KOSPI","기타금융","7840","0","0.00","240099051360"
"001120","LX인터내셔널","KOSPI","유통업","27250","1100","4.21","1056210000000"
"108670","LX하우시스","KOSPI","화학","62100","-300","-0.48","556892307000"
"108675","LX하우시스우","KOSPI","화학","28800","0","0.00","29731104000"
"383800","LX홀딩스","KOSPI","기타금융","10050","130","1.31","766620934500"
"38380K","LX홀딩스1우","KOSPI","기타금융","15750","550","3.62","23078238750"
"023150","MH에탄올","KOSPI","음식료품","10600","200","1.92","78212375600"
"035420","NAVER","KOSPI","서비스업","384000","6000","1.59","62994848640000"
"181710","NHN","KOSPI","서비스업","93200","-1100","-1.17","1823460330000"
"400760","NH올원리츠","KOSPI","서비스업","5230","-20","-0.38","220706000000"
"005940","NH투자증권","KOSPI","증권","13400","50","0.37","3980254085800"
"005945","NH투자증권우","KOSPI","증권","12700","0","0.00","239661293600"
"338100","NH프라임리츠","KOSPI","서비스업","4775","-5","-0.10","89101500000"
"034310","NICE","KOSPI","서비스업","16300","0","0.00","617481490000"
"008260","NI스틸","KOSPI","철강금속","3375","60","1.81","96525394875"
"004250","NPC","KOSPI","화학","9770","270","2.84","358754400000"
"004255","NPC우","KOSPI","화학","4190","190","4.75","22123200000"
"010060","OCI","KOSPI","화학","105000","1000","0.96","2504183955000"
"178920","PI첨단소재","KOSPI","화학","53200","-400","-0.75","1562288330400"
"005490","POSCO","KOSPI","철강금속","284000","500","0.18","24761061140000"
"010950","S-Oil","KOSPI","화학","88700","100","0.11","9986093650400"
"010955","S-Oil우","KOSPI","화학","57900","2000","3.58","232869573300"
"034120","SBS","KOSPI","서비스업","45900","0","0.00","837793513800"
"101060","SBS미디어홀딩스","KOSPI","서비스업","1930","0","0.00","269999646700"
"005090","SGC에너지","KOSPI","전기가스업","45500","400","0.89","667803682000"
