#,id,total_sum,section_name_id,stock_tick_id
1,1,115461564920,41,003480
2,2,46978600955,35,217620
3,3,9382720000,24,372290
4,4,433702444000,55,037560
5,5,66721448880,17,196700
6,6,451397310700,32,347860
7,7,33809713000,20,073190
8,8,158573882150,8,085670
9,9,38205929700,53,177350
10,10,108167578320,26,065650
11,11,565518153200,42,225570
12,12,224754585500,42,058630
13,13,43172597810,5,093380
14,14,4193280000,49,000547
15,15,7030424280,26,114570
16,16,342575516295,4,091810
17,17,63894168000,29,177830
18,18,534151747800,39,267980
19,19,284382336600,17,012610
20,20,114164696850,26,014190
21,21,382302217535,38,023410
22,22,87001700000,32,060850
23,23,139374332800,5,073640
24,24,81541866525,29,111870
25,25,51096839170,53,045300
26,26,52278904600,10,310870
27,27,108000000000,29,053160
28,28,36277287525,55,204210
29,29,228195020200,47,036890
30,30,516679147680,18,058820
31,31,144466728300,10,108380
32,32,140773453800,14,104540
33,33,84333584800,17,352940
34,34,355542936000,53,064290
35,35,78200000000,38,075970
36,36,27773742375,8,114120
37,37,120056780000,44,025820
38,38,51454882930,19,175140
39,39,246344804000,8,179900
40,40,90000000000,23,001560
41,41,156157760000,14,065450
42,42,2471291730600,2,001040
43,43,83809556545,54,005360
44,44,233769857200,8,290550
45,45,224631570450,40,023800
46,46,401253411200,20,285490
47,47,98435643800,16,263800
48,48,1823460330000,55,181710
49,49,38685278450,12,003680
50,50,89662552584,29,025440
51,51,564588674550,53,036810
52,52,180297455680,55,334890
53,53,67234875000,32,322180
54,54,76723038000,39,260970
55,55,389652499600,7,185490
56,56,254581179400,53,078350
57,57,910436453100,17,048410
58,58,79416063150,26,069920
59,59,279575000000,5,023160
60,60,58068011715,18,246720
61,61,264817868280,8,332570
62,62,2625058020000,53,108320
63,63,75379851400,29,361670
64,64,62459795800,32,065440
65,65,35511666400,17,110020
66,66,147949361700,47,382800
67,67,7863600000,22,006345
68,68,23673757500,19,091440
69,69,170024829180,2,013570
70,70,305937950000,47,290670
71,71,122149183240,22,006340
72,72,325747382880,40,075580
73,73,178628506980,44,007280
74,74,123297637500,48,065370
75,75,355887317400,15,122450
76,76,91741954435,5,023440
77,77,29287053360,26,058530
78,78,7854000000,24,329560
79,79,43500682854,6,065420
80,80,112247540610,23,000910
81,81,81941949136,24,021880
82,82,266668825590,8,080420
83,83,457345000000,22,033240
84,84,85924882500,17,086710
85,85,53454770000,22,33626L
86,86,828750000000,22,195870
87,87,206074748700,29,262260
88,88,568258608000,8,060720
89,89,93996817740,14,214680
90,90,53121860030,54,069640
91,91,168545303150,29,270660
92,92,12977331922500,2,003550
93,93,32000213700,26,066430
94,94,11400074000,22,000995
95,95,154966792400,16,052330
96,96,268062269500,32,054920
97,97,61987500000,47,050860
98,98,363780037600,55,317400
99,99,82227537700,40,012280
100,100,42657872040,26,039740
101,101,1108533478950,49,082640
102,102,75293632850,40,123700
103,103,92545000000,44,001080
104,104,77700818640,8,095270
105,105,138573435400,37,210540
106,106,1691639950000,50,069620
107,107,59906151760000,22,005935
108,108,90676466900,44,021050
109,109,112200620090,18,041910
110,110,8964800000,24,353070
111,111,175782592000,17,282690
112,112,5712090510600,55,021240
113,113,244695974890,17,005720
114,114,212580720000,14,253840
115,115,70467000000,17,097870
116,116,126557010360,26,093520
117,117,122622500000,18,009300
118,118,325000000000,55,068290
119,119,159318016000,14,302550
120,120,195292364000,29,333620
121,121,38880000000,40,033250
122,122,164619542400,8,176440
123,123,99192374400,43,016090
124,124,676200000000,34,00680K
125,125,67797501120,48,039670
126,126,77880000000,4,014130
127,127,69872027085,43,090370
128,128,71064255730,54,003010
129,129,310021150200,7,365270
130,130,21231039000,12,001795
131,131,37500376080,37,012600
132,132,226877107500,4,004360
133,133,489551575500,18,950160
134,134,194058463750,10,215360
135,135,2871036673500,34,039490
136,136,237282100000,37,000490
137,137,287628089000,2,007860
138,138,102226700000,29,069510
139,139,66282495750,22,001210
140,140,119125635200,32,234300
141,141,271185724750,18,174900
142,142,83831376680,7,038870
143,143,1261000000000,17,006650
144,144,183031822080,7,063570
145,145,520600000000,17,138490
146,146,42451041270,10,099410
147,147,46015081500,17,187790
148,148,97818554240,2,006200
149,149,14677311264000,22,009150
150,150,132198718450,27,001260
151,151,160527920000,26,140070
152,152,11517975000,24,377400
153,153,662704179450,42,067000
154,154,222855987200,29,318020
155,155,88995360300,20,073570
156,156,65707075360,17,016100
157,157,776959000000,22,025540
158,158,6631440969200,40,009540
159,159,65307595000,5,114190
160,160,1657629163400,2,139130
161,161,73037912200,12,027740
162,162,92980132200,12,014710
163,163,134153292350,22,004770
164,164,8481150000,24,343510
165,165,11154703680000,23,003670
166,166,82678855000,47,317830
167,167,478960341500,18,314130
168,168,195000000000,4,009070
169,169,140944286400,18,200780
170,170,347119996000,21,006490
171,171,205284261500,8,347770
172,172,81328993200,28,317530
173,173,96787790000,18,002800
174,174,76384591250,20,318410
175,175,224230973700,54,011760
176,176,142014006360,47,126880
177,177,492613212000,50,271980
178,178,3428896487500,17,014680
179,179,2961515096480,4,028670
180,180,211128719200,33,306040
181,181,722481294150,53,131970
182,182,166622420000,24,289080
183,183,7450000000,12,011155
184,184,86109350400,8,054090
185,185,935655846400,18,086900
186,186,115633710080,31,039020
187,187,53421504192,24,900070
188,188,60247574240,14,238120
189,189,4693124132400,18,068760
190,190,562235596300,34,001720
191,191,192976707000,26,257720
192,192,206029698600,12,248170
193,193,148429351500,32,304100
194,194,2958497500000,7,196170
195,195,117928876000,19,170790
196,196,60682041540,54,006880
197,197,410962783000,54,339770
198,198,24427827282,53,127160
199,199,102926216085,4,001140
200,200,2817270800,23,001529
201,201,82917828800,18,196300
202,202,86317329220,29,321260
203,203,70614574485,8,131760
204,204,167981852929,26,072520
205,205,82241320200,29,294630
206,206,75471157440,19,115440
207,207,409001916000,29,131390
208,208,77014242000,3,052600
209,209,276623520750,7,203400
210,210,197904000000,50,003120
211,211,1360955440450,55,089860
212,212,9232438800,27,005965
213,213,1017061361200,22,097520
214,214,164148047480,47,068790
215,215,51334443600,8,059100
216,216,65368766092,8,050090
217,217,253220814900,52,372910
218,218,115132370000,47,217820
219,219,349450991700,2,084690
220,220,383740674400,17,214260
221,221,86509919560,29,042110
222,222,70415573235,26,299170
223,223,338226725400,18,263050
224,224,788031720000,37,267270
225,225,1003725757500,18,298380
226,226,62833337250,26,051780
227,227,262158293100,47,049950
228,228,233120000000,40,000430
229,229,95908800000,14,049430
230,230,54573493590,10,212560
231,231,10156368090000,4,003490
232,232,1056210000000,54,001120
233,233,233446665050,55,070960
234,234,96472350000,4,000650
235,235,93303388080,26,019660
236,236,133787591620,28,068050
237,237,203469237000,2,244920
238,238,3152299748000,22,000990
239,239,145982380000,23,004090
240,240,346472000000,55,377190
241,241,480567495275000,22,005930
242,242,1063774660000,42,194480
243,243,6825200000,24,373340
244,244,277620000000,36,025950
245,245,58749600000,38,006920
246,246,3939202294000,2,029780
247,247,406811365200,17,005950
248,248,68266200380,26,215480
249,249,113250000000,26,024060
250,250,216552931310,44,018470
251,251,116965907540,55,035000
252,252,127820963280,29,312610
253,253,117621689400,27,013700
254,254,117804950000,48,050960
255,255,356666080400,17,272550
256,256,59856000000,47,079950
257,257,75152684115,7,204840
258,258,277506201000,7,261780
259,259,39653978220,54,010420
260,260,64644372871,20,054630
261,261,7799412240,28,058420
