#,stock_tick,stock_marketName,stock_isInfoAvailable
1,000020,KOSPI,1
2,000040,KOSPI,1
3,000050,KOSPI,1
4,000060,KOSPI,1
5,000070,KOSPI,1
6,000075,KOSPI,1
7,000080,KOSPI,1
8,000087,KOSPI,1
9,000100,KOSPI,1
10,000105,KOSPI,1
11,000120,KOSPI,1
12,000140,KOSPI,1
13,000145,KOSPI,1
14,000150,KOSPI,1
15,000155,KOSPI,1
16,000157,KOSPI,1
17,000180,KOSPI,1
18,000210,KOSPI,1
19,000215,KOSPI,1
20,000220,KOSPI,1
21,000225,KOSPI,1
22,000227,KOSPI,1
23,000230,KOSPI,1
24,000240,KOSPI,1
25,000250,KOSDAQ,1
26,000270,KOSPI,1
27,000300,KOSPI,1
28,000320,KOSPI,1
29,000325,KOSPI,1
30,000370,KOSPI,1
31,000390,KOSPI,1
32,000400,KOSPI,1
33,000430,KOSPI,1
34,000440,KOSDAQ,1
35,000480,KOSPI,1
36,000490,KOSPI,1
37,000500,KOSPI,1
38,000520,KOSPI,1
39,000540,KOSPI,1
40,000545,KOSPI,1
41,000547,KOSPI,1
42,000590,KOSPI,1
43,000640,KOSPI,1
44,000650,KOSPI,1
45,000660,KOSPI,1
46,000670,KOSPI,1
47,000680,KOSPI,1
48,000700,KOSPI,1
49,000720,KOSPI,1
50,000725,KOSPI,1
51,000760,KOSPI,1
52,000810,KOSPI,1
53,000815,KOSPI,1
54,000850,KOSPI,1
55,000860,KOSPI,1
56,000880,KOSPI,1
57,000885,KOSPI,1
58,00088K,KOSPI,1
59,000890,KOSPI,1
60,000910,KOSPI,1
61,000950,KOSPI,1
62,000970,KOSPI,1
63,000990,KOSPI,1
64,000995,KOSPI,1
65,001000,KOSDAQ,1
66,001020,KOSPI,1
67,001040,KOSPI,1
68,001045,KOSPI,1
69,00104K,KOSPI,1
70,001060,KOSPI,1
71,001065,KOSPI,1
72,001067,KOSPI,1
73,001070,KOSPI,1
74,001080,KOSPI,1
75,001120,KOSPI,1
76,001130,KOSPI,1
77,001140,KOSPI,1
78,001200,KOSPI,1
79,001210,KOSPI,1
80,001230,KOSPI,1
81,001250,KOSPI,1
82,001260,KOSPI,1
83,001270,KOSPI,1
84,001275,KOSPI,1
85,001290,KOSPI,1
86,001340,KOSPI,1
87,001360,KOSPI,1
88,001380,KOSPI,1
89,001390,KOSPI,1
90,001420,KOSPI,1
91,001430,KOSPI,1
92,001440,KOSPI,1
93,001450,KOSPI,1
